site,daily_users,daily_purchases,page_load_time,bounce_rate,average_session_duration,conversion_rate,cart_abandonment_rate,customer_satisfaction,returning_customers,unique_visitors,seo_score,mobile_friendly_score,ad_revenue,email_subscription_rate,social_media_shares,customer_lifetime_value
site1,76,99,70,70,96,54,5,20,30,47,9,24,29,14,15,27
site2,79,68,77,50,72,92,25,40,39,49,24,18,20,49,36,34
site3,98,77,53,61,85,95,27,43,28,47,10,47,29,42,22,1
site4,81,83,78,93,61,80,26,44,16,25,32,45,37,11,7,8
site5,65,76,78,95,73,69,37,3,47,41,23,37,36,8,34,43
site6,51,92,52,70,69,54,28,47,40,5,37,8,11,26,1,2
site7,53,66,68,61,63,63,21,26,14,21,41,5,13,13,23,32
site8,72,89,91,94,80,95,33,24,17,28,2,1,28,3,43,41
site9,82,66,84,77,54,54,37,37,45,44,7,43,19,37,6,38
site10,57,61,86,71,99,65,19,8,15,14,7,17,25,23,25,29
site11,99,92,83,68,72,99,39,3,38,14,36,13,49,48,34,34
site12,82,95,52,52,65,80,41,27,4,38,20,33,2,11,45,3
